Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0312"
"0.0200","0.0000","-0.0795"
"0.0400","0.0000","-0.0267"
"0.0600","0.0000","-0.0538"
"0.0800","0.0001","-0.0037"
"0.1000","0.0002","-0.0079"
"0.1200","0.0004","-0.0054"
"0.1400","0.0005","0.0131"
"0.1600","0.0006","-0.0662"
"0.1800","0.0006","-0.0559"
"0.2000","0.0006","0.0542"
"0.2200","0.0008","0.0480"
"0.2400","0.0011","0.0169"
"0.2600","0.0016","0.0089"
"0.2800","0.0021","0.0262"
"0.3000","0.0025","0.0846"
"0.3200","0.0029","0.1219"
"0.3400","0.0033","0.0190"
"0.3600","0.0036","0.0713"
"0.3800","0.0041","0.1475"
"0.4000","0.0046","0.1787"
"0.4200","0.0050","0.1416"
"0.4400","0.0054","0.0589"
"0.4600","0.0058","0.0506"
"0.4800","0.0061","0.1445"
"0.5000","0.0065","0.1805"
"0.5200","0.0069","0.1380"
"0.5400","0.0074","0.0950"
"0.5600","0.0078","-0.0082"
"0.5800","0.0082","0.0383"
"0.6000","0.0084","0.0884"
"0.6200","0.0087","0.1743"
"0.6400","0.0089","0.1322"
"0.6600","0.0092","0.1008"
"0.6800","0.0096","0.1742"
"0.7000","0.0100","0.1595"
"0.7200","0.0104","0.1218"
"0.7400","0.0107","0.1761"
"0.7600","0.0110","0.1225"
"0.7800","0.0113","0.1889"
"0.8000","0.0115","0.2005"
"0.8200","0.0118","0.2178"
"0.8400","0.0121","0.2009"
"0.8600","0.0126","0.1858"
"0.8800","0.0130","0.1472"
"0.9000","0.0135","0.1468"
"0.9200","0.0138","0.1006"
"0.9400","0.0141","0.1433"
"0.9600","0.0143","0.1232"
"0.9800","0.0146","0.1130"
"1.0000","0.0149","0.1106"
"1.0200","0.0152","0.1429"
"1.0400","0.0155","0.1970"
"1.0600","0.0159","0.2271"
"1.0800","0.0163","0.1867"
"1.1000","0.0167","0.1395"
"1.1200","0.0170","0.1316"
"1.1400","0.0173","0.1767"
"1.1600","0.0176","0.1641"
"1.1800","0.0180","0.1030"
"1.2000","0.0184","0.1362"
"1.2200","0.0188","0.1574"
"1.2400","0.0192","0.1544"
"1.2600","0.0195","0.1675"
"1.2800","0.0198","0.2270"
"1.3000","0.0200","0.2681"
"1.3200","0.0203","0.2592"
"1.3400","0.0206","0.2708"
"1.3600","0.0209","0.2884"
"1.3800","0.0213","0.1797"
"1.4000","0.0216","0.1992"
"1.4200","0.0220","0.2060"
"1.4400","0.0223","0.1688"
"1.4600","0.0226","0.1908"
"1.4800","0.0229","0.1404"
"1.5000","0.0231","0.1442"
"1.5200","0.0235","0.1720"
"1.5400","0.0238","0.1628"
"1.5600","0.0243","0.1476"
"1.5800","0.0247","0.1942"
"1.6000","0.0251","0.2540"
"1.6200","0.0255","0.1962"
"1.6400","0.0257","0.1269"
"1.6600","0.0260","0.1118"
"1.6800","0.0262","0.1781"
"1.7000","0.0265","0.1824"
"1.7200","0.0268","0.1878"
"1.7400","0.0272","0.1355"
"1.7600","0.0276","0.2353"
"1.7800","0.0280","0.2350"
"1.8000","0.0283","0.2136"
"1.8200","0.0286","0.1822"
"1.8400","0.0289","0.1576"
"1.8600","0.0293","0.1914"
"1.8800","0.0296","0.1994"
"1.9000","0.0301","0.1371"
"1.9200","0.0305","0.1737"
"1.9400","0.0308","0.2083"
"1.9600","0.0311","0.2252"
"1.9800","0.0314","0.1986"
"2.0000","0.0316","0.2715"
"2.0200","0.0319","0.2239"
"2.0400","0.0322","0.2465"
"2.0600","0.0326","0.2697"
"2.0800","0.0329","0.2966"
"2.1000","0.0333","0.2264"
"2.1200","0.0337","0.1427"
"2.1400","0.0340","0.2837"
"2.1600","0.0342","0.3175"
"2.1800","0.0345","0.2863"
"2.2000","0.0348","0.2304"
"2.2200","0.0351","0.1852"
"2.2400","0.0355","0.1272"
"2.2600","0.0360","0.1295"
"2.2800","0.0365","0.1966"
"2.3000","0.0368","0.2271"
"2.3200","0.0371","0.1735"
"2.3400","0.0374","0.2125"
"2.3600","0.0376","0.1911"
"2.3800","0.0379","0.1791"
"2.4000","0.0382","0.2049"
"2.4200","0.0385","0.3006"
"2.4400","0.0389","0.3222"
"2.4600","0.0393","0.3352"
"2.4800","0.0397","0.2326"
"2.5000","0.0400","0.1726"
"2.5200","0.0403","0.1941"
"2.5400","0.0406","0.2688"
"2.5600","0.0410","0.3204"
"2.5800","0.0414","0.2791"
"2.6000","0.0418","0.2261"
"2.6200","0.0422","0.1922"
"2.6400","0.0425","0.1106"
"2.6600","0.0427","0.2126"
"2.6800","0.0430","0.1948"
"2.7000","0.0432","0.2699"
"2.7200","0.0435","0.2808"
"2.7400","0.0438","0.2751"
"2.7600","0.0442","0.2423"
"2.7800","0.0446","0.2132"
"2.8000","0.0450","0.2275"
"2.8200","0.0454","0.2308"
"2.8400","0.0456","0.2848"
"2.8600","0.0459","0.3155"
"2.8800","0.0462","0.2490"
"2.9000","0.0465","0.2414"
"2.9200","0.0469","0.2541"
"2.9400","0.0473","0.2443"
"2.9600","0.0478","0.2131"
"2.9800","0.0482","0.2578"
"3.0000","0.0485","0.3367"
"3.0200","0.0488","0.3120"
"3.0400","0.0490","0.3649"
"3.0600","0.0492","0.2707"
"3.0800","0.0495","0.2247"
"3.1000","0.0499","0.2429"
"3.1200","0.0502","0.2160"
"3.1400","0.0506","0.3003"
"3.1600","0.0510","0.3419"
"3.1800","0.0513","0.2354"
"3.2000","0.0516","0.2128"
"3.2200","0.0519","0.2661"
"3.2400","0.0523","0.2796"
"3.2600","0.0527","0.3308"
"3.2800","0.0531","0.2946"
"3.3000","0.0535","0.3238"
"3.3200","0.0538","0.2714"
"3.3400","0.0541","0.3155"
"3.3600","0.0544","0.2668"
"3.3800","0.0546","0.2412"
"3.4000","0.0549","0.2780"
"3.4200","0.0552","0.2650"
"3.4400","0.0556","0.2914"
"3.4600","0.0560","0.2588"
"3.4800","0.0563","0.2470"
"3.5000","0.0567","0.2978"
"3.5200","0.0570","0.2756"
"3.5400","0.0573","0.2813"
"3.5600","0.0575","0.2867"
"3.5800","0.0578","0.3536"
"3.6000","0.0582","0.3243"
"3.6200","0.0586","0.2701"
"3.6400","0.0591","0.2339"
"3.6600","0.0595","0.2486"
"3.6800","0.0599","0.3383"
"3.7000","0.0601","0.3694"
"3.7200","0.0604","0.3274"
"3.7400","0.0606","0.3013"
"3.7600","0.0609","0.2695"
"3.7800","0.0612","0.2923"
"3.8000","0.0616","0.3109"
"3.8200","0.0620","0.3434"
"3.8400","0.0623","0.3371"
"3.8600","0.0627","0.2865"
"3.8800","0.0630","0.3043"
"3.9000","0.0633","0.3221"
"3.9200","0.0636","0.2618"
"3.9400","0.0640","0.2597"
"3.9600","0.0644","0.2876"
"3.9800","0.0648","0.3340"
"4.0000","0.0652","0.3351"
"4.0200","0.0655","0.2857"
"4.0400","0.0657","0.3260"
"4.0600","0.0660","0.3250"
"4.0800","0.0662","0.2398"
"4.1000","0.0665","0.2227"
"4.1200","0.0669","0.2382"
"4.1400","0.0672","0.2668"
"4.1600","0.0676","0.3798"
"4.1800","0.0680","0.3734"
"4.2000","0.0683","0.3295"
"4.2200","0.0686","0.3591"
"4.2400","0.0689","0.4584"
"4.2600","0.0692","0.4284"
"4.2800","0.0695","0.3795"
"4.3000","0.0699","0.3439"
"4.3200","0.0703","0.3163"
"4.3400","0.0708","0.3502"
"4.3600","0.0712","0.3596"
"4.3800","0.0715","0.3605"
"4.4000","0.0717","0.3616"
"4.4200","0.0720","0.3264"
"4.4400","0.0722","0.3592"
"4.4600","0.0725","0.3955"
"4.4800","0.0729","0.4023"
"4.5000","0.0732","0.3508"
"4.5200","0.0736","0.2463"
"4.5400","0.0740","0.3531"
"4.5600","0.0743","0.3487"
"4.5800","0.0746","0.3483"
"4.6000","0.0749","0.3366"
"4.6200","0.0753","0.2924"
"4.6400","0.0757","0.3149"
"4.6600","0.0761","0.3463"
"4.6800","0.0765","0.3724"
"4.7000","0.0768","0.3433"
"4.7200","0.0771","0.3174"
"4.7400","0.0774","0.3499"
"4.7600","0.0776","0.3466"
"4.7800","0.0779","0.3261"
"4.8000","0.0782","0.3536"
"4.8200","0.0786","0.4210"
"4.8400","0.0789","0.3986"
"4.8600","0.0793","0.3854"
"4.8800","0.0797","0.4376"
"4.9000","0.0800","0.4591"
"4.9200","0.0802","0.3917"
"4.9400","0.0805","0.3939"
"4.9600","0.0808","0.3860"
"4.9800","0.0811","0.4298"
"5.0000","0.0816","0.4689"
"5.0200","0.0820","0.5290"
"5.0400","0.0825","0.5817"
"5.0600","0.0829","0.4729"
"5.0800","0.0831","0.4029"
"5.1000","0.0834","0.4339"
"5.1200","0.0836","0.4713"
"5.1400","0.0839","0.4341"
"5.1600","0.0842","0.4441"
"5.1800","0.0845","0.4271"
"5.2000","0.0849","0.4027"
"5.2200","0.0853","0.3951"
"5.2400","0.0856","0.3499"
"5.2600","0.0859","0.4623"
"5.2800","0.0862","0.5240"
"5.3000","0.0866","0.4781"
"5.3200","0.0869","0.4032"
"5.3400","0.0874","0.3754"
"5.3600","0.0878","0.5184"
"5.3800","0.0882","0.5192"
"5.4000","0.0885","0.3916"
"5.4200","0.0887","0.4044"
"5.4400","0.0890","0.3671"
"5.4600","0.0892","0.4468"
"5.4800","0.0895","0.4957"
"5.5000","0.0898","0.5183"
"5.5200","0.0902","0.5028"
"5.5400","0.0906","0.5103"
"5.5600","0.0910","0.4063"
"5.5800","0.0913","0.4186"
"5.6000","0.0916","0.4708"
"5.6200","0.0919","0.4981"
"5.6400","0.0922","0.4743"
"5.6600","0.0925","0.4434"
"5.6800","0.0929","0.3591"
"5.7000","0.0934","0.2612"
"5.7200","0.0938","0.4024"
"5.7400","0.0942","0.5020"
"5.7600","0.0945","0.5382"
"5.7800","0.0948","0.4655"
"5.8000","0.0950","0.4665"
"5.8200","0.0952","0.4940"
"5.8400","0.0955","0.5383"
