Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0525"
"0.0200","0.0000","0.1133"
"0.0400","0.0000","0.0039"
"0.0600","0.0001","-0.0212"
"0.0800","0.0002","-0.0428"
"0.1000","0.0004","0.0094"
"0.1200","0.0004","0.0174"
"0.1400","0.0004","0.0443"
"0.1600","0.0004","0.0326"
"0.1800","0.0005","0.0555"
"0.2000","0.0007","0.1068"
"0.2200","0.0011","0.1502"
"0.2400","0.0015","0.1731"
"0.2600","0.0020","0.2606"
"0.2800","0.0025","0.2010"
"0.3000","0.0031","0.1317"
"0.3200","0.0036","0.1479"
"0.3400","0.0041","0.1962"
"0.3600","0.0045","0.1976"
"0.3800","0.0048","0.1928"
"0.4000","0.0051","0.1899"
"0.4200","0.0054","0.2761"
"0.4400","0.0058","0.3235"
"0.4600","0.0062","0.3643"
"0.4800","0.0067","0.3191"
"0.5000","0.0070","0.2841"
"0.5200","0.0073","0.3370"
"0.5400","0.0076","0.4479"
"0.5600","0.0079","0.4646"
"0.5800","0.0082","0.3818"
"0.6000","0.0086","0.3644"
"0.6200","0.0091","0.2916"
"0.6400","0.0096","0.3375"
"0.6600","0.0100","0.3947"
"0.6800","0.0103","0.3578"
"0.7000","0.0105","0.2963"
"0.7200","0.0108","0.3635"
"0.7400","0.0110","0.3885"
"0.7600","0.0113","0.4154"
"0.7800","0.0117","0.3998"
"0.8000","0.0121","0.3587"
"0.8200","0.0124","0.3957"
"0.8400","0.0128","0.4318"
"0.8600","0.0131","0.3812"
"0.8800","0.0134","0.3706"
"0.9000","0.0137","0.4547"
"0.9200","0.0141","0.4621"
"0.9400","0.0145","0.5034"
"0.9600","0.0149","0.5008"
"0.9800","0.0153","0.4438"
"1.0000","0.0156","0.3999"
"1.0200","0.0159","0.4436"
"1.0400","0.0161","0.4851"
"1.0600","0.0164","0.5188"
"1.0800","0.0166","0.5195"
"1.1000","0.0170","0.5591"
"1.1200","0.0173","0.6532"
"1.1400","0.0177","0.6171"
"1.1600","0.0181","0.5718"
"1.1800","0.0185","0.5934"
"1.2000","0.0187","0.5635"
"1.2200","0.0190","0.5812"
"1.2400","0.0193","0.6529"
"1.2600","0.0196","0.6720"
"1.2800","0.0199","0.7085"
"1.3000","0.0203","0.6874"
"1.3200","0.0208","0.7043"
"1.3400","0.0212","0.6535"
"1.3600","0.0216","0.6698"
"1.3800","0.0219","0.7060"
"1.4000","0.0221","0.6802"
"1.4200","0.0223","0.6629"
"1.4400","0.0226","0.6562"
"1.4600","0.0229","0.6438"
"1.4800","0.0233","0.6720"
"1.5000","0.0237","0.7550"
"1.5200","0.0241","0.7694"
"1.5400","0.0244","0.7078"
"1.5600","0.0247","0.6128"
"1.5800","0.0250","0.6017"
"1.6000","0.0254","0.5911"
"1.6200","0.0258","0.6525"
"1.6400","0.0262","0.7320"
"1.6600","0.0266","0.7718"
"1.6800","0.0270","0.7378"
"1.7000","0.0272","0.6629"
"1.7200","0.0275","0.7433"
"1.7400","0.0277","0.8467"
"1.7600","0.0280","0.8467"
"1.7800","0.0283","0.8407"
"1.8000","0.0286","0.8155"
"1.8200","0.0290","0.8897"
"1.8400","0.0294","0.8842"
"1.8600","0.0298","0.8291"
"1.8800","0.0301","0.8444"
"1.9000","0.0304","0.8405"
"1.9200","0.0306","0.7868"
"1.9400","0.0309","0.8646"
"1.9600","0.0312","0.9136"
"1.9800","0.0316","0.8475"
"2.0000","0.0321","0.8483"
"2.0200","0.0325","0.9104"
"2.0400","0.0329","0.9848"
"2.0600","0.0332","1.0030"
"2.0800","0.0334","1.0285"
"2.1000","0.0337","1.0483"
"2.1200","0.0339","1.0416"
"2.1400","0.0343","1.0079"
"2.1600","0.0346","1.0174"
"2.1800","0.0350","1.0613"
"2.2000","0.0354","0.9859"
"2.2200","0.0357","1.0021"
"2.2400","0.0360","1.0296"
"2.2600","0.0363","1.0719"
"2.2800","0.0367","1.0587"
"2.3000","0.0370","0.9895"
"2.3200","0.0374","1.0143"
"2.3400","0.0379","1.0960"
"2.3600","0.0382","1.0156"
"2.3800","0.0386","0.9331"
"2.4000","0.0388","0.9674"
"2.4200","0.0391","1.0707"
"2.4400","0.0393","1.0526"
"2.4600","0.0396","1.0958"
"2.4800","0.0399","1.0331"
"2.5000","0.0403","1.1064"
"2.5200","0.0407","1.1442"
"2.5400","0.0411","1.1649"
