Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0590"
"0.0200","0.0000","0.0486"
"0.0400","0.0000","-0.0008"
"0.0600","0.0001","-0.0416"
"0.0800","0.0002","0.0147"
"0.1000","0.0005","0.0571"
"0.1200","0.0005","-0.0992"
"0.1400","0.0005","-0.1694"
"0.1600","0.0006","-0.1170"
"0.1800","0.0007","-0.0442"
"0.2000","0.0009","0.0451"
"0.2200","0.0012","0.1058"
"0.2400","0.0017","0.0576"
"0.2600","0.0022","-0.1023"
"0.2800","0.0026","-0.1177"
"0.3000","0.0030","-0.0014"
"0.3200","0.0034","0.0105"
"0.3400","0.0038","0.0458"
"0.3600","0.0043","0.0047"
"0.3800","0.0048","0.1009"
"0.4000","0.0053","0.2144"
"0.4200","0.0057","0.1677"
"0.4400","0.0060","0.1114"
"0.4600","0.0063","0.0689"
"0.4800","0.0066","0.0730"
"0.5000","0.0069","0.1787"
"0.5200","0.0073","0.1937"
"0.5400","0.0077","0.1958"
"0.5600","0.0081","0.1788"
"0.5800","0.0085","0.1958"
"0.6000","0.0089","0.3039"
"0.6200","0.0092","0.2940"
"0.6400","0.0096","0.2669"
"0.6600","0.0101","0.2758"
"0.6800","0.0105","0.3134"
"0.7000","0.0108","0.3776"
"0.7200","0.0111","0.4637"
"0.7400","0.0113","0.4929"
"0.7600","0.0116","0.4370"
"0.7800","0.0118","0.3022"
"0.8000","0.0121","0.3352"
"0.8200","0.0125","0.4371"
"0.8400","0.0129","0.4073"
"0.8600","0.0132","0.4504"
"0.8800","0.0136","0.4889"
"0.9000","0.0139","0.4467"
"0.9200","0.0142","0.4267"
"0.9400","0.0144","0.4651"
"0.9600","0.0147","0.4515"
"0.9800","0.0151","0.4921"
"1.0000","0.0155","0.5002"
"1.0200","0.0159","0.5351"
"1.0400","0.0164","0.5323"
"1.0600","0.0167","0.5354"
"1.0800","0.0170","0.5074"
"1.1000","0.0172","0.5355"
"1.1200","0.0174","0.5085"
"1.1400","0.0177","0.4782"
"1.1600","0.0180","0.5504"
"1.1800","0.0184","0.5746"
"1.2000","0.0188","0.5986"
"1.2200","0.0192","0.6005"
"1.2400","0.0195","0.5880"
"1.2600","0.0199","0.5038"
"1.2800","0.0202","0.4804"
"1.3000","0.0205","0.4928"
"1.3200","0.0208","0.4786"
"1.3400","0.0212","0.5562"
"1.3600","0.0216","0.5490"
"1.3800","0.0220","0.5200"
"1.4000","0.0223","0.5357"
"1.4200","0.0226","0.5259"
"1.4400","0.0228","0.5495"
"1.4600","0.0231","0.5020"
"1.4800","0.0234","0.4959"
"1.5000","0.0237","0.5201"
"1.5200","0.0241","0.5184"
"1.5400","0.0244","0.5472"
"1.5600","0.0248","0.5449"
"1.5800","0.0252","0.5453"
"1.6000","0.0255","0.5269"
"1.6200","0.0257","0.5114"
"1.6400","0.0260","0.4990"
"1.6600","0.0263","0.4932"
"1.6800","0.0267","0.5970"
"1.7000","0.0272","0.6231"
"1.7200","0.0277","0.6130"
"1.7400","0.0281","0.5357"
"1.7600","0.0284","0.4564"
"1.7800","0.0286","0.5242"
"1.8000","0.0288","0.5772"
"1.8200","0.0291","0.6495"
"1.8400","0.0293","0.6584"
"1.8600","0.0297","0.6893"
"1.8800","0.0301","0.6926"
"1.9000","0.0305","0.6312"
"1.9200","0.0308","0.6159"
"1.9400","0.0312","0.6048"
"1.9600","0.0315","0.5884"
"1.9800","0.0318","0.5934"
"2.0000","0.0322","0.6319"
"2.0200","0.0325","0.6110"
"2.0400","0.0329","0.6622"
"2.0600","0.0333","0.6653"
"2.0800","0.0336","0.6270"
"2.1000","0.0339","0.6328"
"2.1200","0.0342","0.6780"
"2.1400","0.0344","0.7330"
"2.1600","0.0347","0.7724"
"2.1800","0.0350","0.7446"
"2.2000","0.0353","0.7252"
"2.2200","0.0357","0.7171"
"2.2400","0.0361","0.6503"
"2.2600","0.0365","0.5742"
"2.2800","0.0368","0.5672"
"2.3000","0.0371","0.6448"
"2.3200","0.0373","0.6823"
"2.3400","0.0376","0.6719"
"2.3600","0.0380","0.6594"
"2.3800","0.0385","0.6099"
"2.4000","0.0389","0.5904"
"2.4200","0.0394","0.6867"
"2.4400","0.0398","0.7300"
"2.4600","0.0400","0.7712"
"2.4800","0.0402","0.6688"
"2.5000","0.0404","0.5780"
"2.5200","0.0407","0.6439"
"2.5400","0.0410","0.6504"
