Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0110"
"0.0200","0.0000","-0.0036"
"0.0400","0.0000","0.0305"
"0.0600","0.0001","0.0693"
"0.0800","0.0002","0.0983"
"0.1000","0.0004","0.1189"
"0.1200","0.0004","-0.0009"
"0.1400","0.0004","-0.0256"
"0.1600","0.0004","-0.0303"
"0.1800","0.0005","0.0884"
"0.2000","0.0007","0.0719"
"0.2200","0.0011","0.0276"
"0.2400","0.0016","0.0274"
"0.2600","0.0022","0.1337"
"0.2800","0.0026","0.1127"
"0.3000","0.0030","0.0492"
"0.3200","0.0033","0.0640"
"0.3400","0.0037","0.0763"
"0.3600","0.0041","-0.0230"
"0.3800","0.0045","0.0071"
"0.4000","0.0049","0.0886"
"0.4200","0.0053","0.2357"
"0.4400","0.0057","0.2007"
"0.4600","0.0060","0.1929"
"0.4800","0.0064","0.1300"
"0.5000","0.0068","0.2020"
"0.5200","0.0072","0.2968"
"0.5400","0.0078","0.2896"
"0.5600","0.0082","0.2044"
"0.5800","0.0086","0.1090"
"0.6000","0.0089","0.1375"
"0.6200","0.0092","0.1374"
"0.6400","0.0095","0.1912"
"0.6600","0.0098","0.2982"
"0.6800","0.0102","0.2525"
"0.7000","0.0105","0.2845"
"0.7200","0.0109","0.2931"
"0.7400","0.0113","0.3495"
"0.7600","0.0116","0.3361"
"0.7800","0.0119","0.2653"
"0.8000","0.0122","0.2884"
"0.8200","0.0126","0.2846"
"0.8400","0.0130","0.2599"
"0.8600","0.0133","0.3347"
"0.8800","0.0137","0.3598"
"0.9000","0.0139","0.3221"
"0.9200","0.0142","0.4038"
"0.9400","0.0144","0.5065"
"0.9600","0.0147","0.4608"
"0.9800","0.0149","0.3469"
"1.0000","0.0153","0.3659"
"1.0200","0.0156","0.3978"
"1.0400","0.0160","0.4011"
"1.0600","0.0164","0.3893"
"1.0800","0.0167","0.4057"
"1.1000","0.0170","0.4959"
"1.1200","0.0173","0.4630"
"1.1400","0.0176","0.3895"
"1.1600","0.0179","0.3658"
"1.1800","0.0183","0.3554"
"1.2000","0.0187","0.4365"
"1.2200","0.0192","0.4876"
"1.2400","0.0196","0.3885"
"1.2600","0.0199","0.4159"
"1.2800","0.0202","0.4073"
"1.3000","0.0204","0.3674"
"1.3200","0.0207","0.3198"
"1.3400","0.0210","0.3551"
"1.3600","0.0213","0.3533"
"1.3800","0.0216","0.3707"
"1.4000","0.0220","0.4814"
"1.4200","0.0224","0.4247"
"1.4400","0.0227","0.4209"
"1.4600","0.0230","0.4332"
"1.4800","0.0234","0.4714"
"1.5000","0.0237","0.5449"
"1.5200","0.0241","0.5385"
"1.5400","0.0245","0.5332"
"1.5600","0.0249","0.4716"
"1.5800","0.0252","0.4311"
"1.6000","0.0255","0.4490"
"1.6200","0.0257","0.4761"
"1.6400","0.0260","0.4716"
"1.6600","0.0262","0.4478"
"1.6800","0.0265","0.4360"
"1.7000","0.0269","0.5436"
"1.7200","0.0273","0.4548"
"1.7400","0.0277","0.4187"
"1.7600","0.0280","0.4380"
"1.7800","0.0283","0.4763"
"1.8000","0.0286","0.4262"
"1.8200","0.0289","0.4125"
"1.8400","0.0292","0.4247"
"1.8600","0.0295","0.4346"
"1.8800","0.0300","0.4206"
"1.9000","0.0304","0.4399"
"1.9200","0.0308","0.4044"
"1.9400","0.0312","0.4589"
"1.9600","0.0315","0.4858"
"1.9800","0.0317","0.4735"
"2.0000","0.0319","0.4995"
"2.0200","0.0322","0.5341"
"2.0400","0.0325","0.4868"
"2.0600","0.0329","0.5058"
"2.0800","0.0333","0.4485"
"2.1000","0.0337","0.4719"
"2.1200","0.0340","0.4942"
"2.1400","0.0344","0.4050"
"2.1600","0.0347","0.4623"
"2.1800","0.0350","0.4585"
"2.2000","0.0354","0.4168"
"2.2200","0.0358","0.4491"
"2.2400","0.0362","0.4124"
"2.2600","0.0366","0.3792"
"2.2800","0.0369","0.5175"
"2.3000","0.0372","0.5315"
"2.3200","0.0374","0.4337"
"2.3400","0.0377","0.5527"
"2.3600","0.0380","0.5335"
"2.3800","0.0383","0.4569"
"2.4000","0.0387","0.4530"
"2.4200","0.0391","0.4663"
"2.4400","0.0395","0.4835"
"2.4600","0.0398","0.4985"
"2.4800","0.0400","0.4687"
"2.5000","0.0403","0.4483"
"2.5200","0.0406","0.5066"
"2.5400","0.0409","0.5238"
"2.5600","0.0413","0.3757"
"2.5800","0.0418","0.4293"
"2.6000","0.0422","0.4265"
"2.6200","0.0426","0.5242"
"2.6400","0.0429","0.5424"
"2.6600","0.0431","0.4995"
"2.6800","0.0433","0.4267"
"2.7000","0.0436","0.5059"
"2.7200","0.0439","0.4931"
"2.7400","0.0442","0.4241"
"2.7600","0.0446","0.4050"
"2.7800","0.0450","0.5159"
"2.8000","0.0454","0.5398"
"2.8200","0.0457","0.5188"
"2.8400","0.0461","0.4782"
"2.8600","0.0464","0.4976"
"2.8800","0.0467","0.4667"
"2.9000","0.0471","0.5144"
"2.9200","0.0474","0.4843"
"2.9400","0.0478","0.5133"
"2.9600","0.0482","0.5232"
"2.9800","0.0485","0.5523"
"3.0000","0.0487","0.5182"
"3.0200","0.0490","0.5519"
"3.0400","0.0492","0.5783"
"3.0600","0.0495","0.5422"
"3.0800","0.0499","0.5323"
"3.1000","0.0503","0.5594"
"3.1200","0.0507","0.6051"
"3.1400","0.0511","0.6170"
"3.1600","0.0514","0.6262"
"3.1800","0.0516","0.6182"
"3.2000","0.0519","0.6998"
"3.2200","0.0522","0.5983"
"3.2400","0.0526","0.4863"
"3.2600","0.0530","0.4624"
"3.2800","0.0535","0.4759"
"3.3000","0.0540","0.5086"
"3.3200","0.0543","0.4565"
"3.3400","0.0546","0.4130"
"3.3600","0.0548","0.5045"
"3.3800","0.0550","0.5145"
"3.4000","0.0553","0.4745"
"3.4200","0.0556","0.4946"
"3.4400","0.0560","0.4266"
"3.4600","0.0564","0.4596"
"3.4800","0.0568","0.5856"
"3.5000","0.0571","0.5866"
"3.5200","0.0574","0.5694"
"3.5400","0.0577","0.5479"
"3.5600","0.0581","0.5166"
"3.5800","0.0584","0.5304"
"3.6000","0.0588","0.5510"
"3.6200","0.0592","0.5648"
"3.6400","0.0595","0.5938"
"3.6600","0.0598","0.5560"
"3.6800","0.0601","0.6506"
"3.7000","0.0603","0.5443"
"3.7200","0.0606","0.4473"
"3.7400","0.0609","0.5218"
"3.7600","0.0612","0.5657"
"3.7800","0.0616","0.5751"
"3.8000","0.0620","0.5857"
"3.8200","0.0623","0.5707"
"3.8400","0.0627","0.5629"
"3.8600","0.0629","0.5410"
"3.8800","0.0632","0.5208"
"3.9000","0.0635","0.5370"
"3.9200","0.0638","0.5961"
"3.9400","0.0643","0.6476"
"3.9600","0.0647","0.6379"
"3.9800","0.0652","0.6014"
"4.0000","0.0656","0.5583"
"4.0200","0.0659","0.6026"
"4.0400","0.0662","0.5668"
"4.0600","0.0664","0.6212"
"4.0800","0.0666","0.6538"
"4.1000","0.0669","0.6076"
"4.1200","0.0673","0.5683"
"4.1400","0.0677","0.6037"
"4.1600","0.0680","0.6239"
"4.1800","0.0684","0.6739"
"4.2000","0.0688","0.6894"
"4.2200","0.0691","0.6282"
"4.2400","0.0694","0.6326"
"4.2600","0.0698","0.6673"
"4.2800","0.0701","0.6323"
"4.3000","0.0705","0.6266"
"4.3200","0.0709","0.6067"
"4.3400","0.0713","0.5602"
"4.3600","0.0715","0.5886"
"4.3800","0.0718","0.6040"
"4.4000","0.0720","0.6278"
"4.4200","0.0723","0.5782"
"4.4400","0.0727","0.5964"
"4.4600","0.0730","0.6072"
"4.4800","0.0734","0.6050"
"4.5000","0.0738","0.6444"
"4.5200","0.0741","0.5925"
"4.5400","0.0744","0.6140"
"4.5600","0.0746","0.5831"
"4.5800","0.0749","0.6248"
"4.6000","0.0752","0.6663"
"4.6200","0.0756","0.5569"
"4.6400","0.0760","0.5642"
"4.6600","0.0765","0.5436"
"4.6800","0.0769","0.6229"
"4.7000","0.0772","0.6003"
"4.7200","0.0775","0.6479"
"4.7400","0.0777","0.6791"
"4.7600","0.0779","0.6703"
"4.7800","0.0782","0.6169"
"4.8000","0.0785","0.6742"
"4.8200","0.0789","0.6077"
"4.8400","0.0792","0.6080"
