Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.8296","15.5914"
"0.0200","0.8296","15.6064"
"0.0400","0.8296","15.5341"
"0.0600","0.8296","15.5936"
"0.0800","0.8296","15.6214"
"0.1000","0.8297","15.6177"
"0.1200","0.8299","15.6251"
"0.1400","0.8300","15.5778"
"0.1600","0.8300","15.5142"
"0.1800","0.8299","15.5230"
"0.2000","0.8299","15.5446"
"0.2200","0.8300","15.5520"
"0.2400","0.8302","15.5981"
"0.2600","0.8306","15.6477"
"0.2800","0.8311","15.7689"
"0.3000","0.8317","15.8707"
"0.3200","0.8322","15.8591"
"0.3400","0.8327","15.9554"
"0.3600","0.8330","16.0811"
"0.3800","0.8334","16.0543"
"0.4000","0.8338","16.0446"
"0.4200","0.8343","16.1465"
"0.4400","0.8347","16.2810"
"0.4600","0.8352","16.4092"
"0.4800","0.8356","16.4712"
"0.5000","0.8360","16.4935"
"0.5200","0.8364","16.5640"
"0.5400","0.8368","16.6845"
"0.5600","0.8373","16.7268"
"0.5800","0.8377","16.7691"
"0.6000","0.8380","16.7814"
"0.6200","0.8383","16.8482"
"0.6400","0.8386","16.8283"
"0.6600","0.8389","16.8392"
"0.6800","0.8392","16.9003"
"0.7000","0.8396","16.9098"
"0.7200","0.8399","16.9404"
"0.7400","0.8403","17.0875"
"0.7600","0.8406","17.1600"
"0.7800","0.8409","17.1518"
"0.8000","0.8412","17.2211"
"0.8200","0.8415","17.2344"
"0.8400","0.8418","17.3655"
"0.8600","0.8422","17.3926"
"0.8800","0.8426","17.3638"
"0.9000","0.8430","17.4334"
"0.9200","0.8434","17.4830"
"0.9400","0.8437","17.5226"
"0.9600","0.8440","17.6417"
"0.9800","0.8442","17.6920"
"1.0000","0.8444","17.6720"
"1.0200","0.8447","17.6705"
"1.0400","0.8450","17.7440"
"1.0600","0.8454","17.7893"
"1.0800","0.8458","17.8346"
"1.1000","0.8461","17.7829"
"1.1200","0.8465","17.8683"
"1.1400","0.8468","17.9464"
"1.1600","0.8471","17.9626"
"1.1800","0.8474","17.9377"
"1.2000","0.8478","17.9744"
"1.2200","0.8482","18.0412"
"1.2400","0.8486","18.0209"
"1.2600","0.8489","17.9559"
"1.2800","0.8492","18.0680"
"1.3000","0.8495","18.1366"
"1.3200","0.8498","18.0588"
"1.3400","0.8500","18.1505"
"1.3600","0.8503","18.1532"
"1.3800","0.8507","18.1872"
"1.4000","0.8510","18.1908"
"1.4200","0.8514","18.1591"
"1.4400","0.8517","18.2250"
"1.4600","0.8521","18.2626"
"1.4800","0.8524","18.3095"
"1.5000","0.8527","18.3178"
"1.5200","0.8530","18.2546"
"1.5400","0.8533","18.2233"
"1.5600","0.8537","18.2494"
"1.5800","0.8542","18.3433"
"1.6000","0.8546","18.3812"
"1.6200","0.8550","18.2889"
"1.6400","0.8553","18.2651"
"1.6600","0.8556","18.2813"
"1.6800","0.8558","18.2909"
"1.7000","0.8561","18.3682"
"1.7200","0.8564","18.4035"
"1.7400","0.8567","18.4325"
"1.7600","0.8571","18.3898"
"1.7800","0.8574","18.3454"
"1.8000","0.8578","18.3730"
"1.8200","0.8581","18.3575"
"1.8400","0.8585","18.3696"
"1.8600","0.8588","18.4559"
"1.8800","0.8591","18.5056"
"1.9000","0.8595","18.4967"
"1.9200","0.8599","18.5767"
"1.9400","0.8603","18.6864"
"1.9600","0.8606","18.6513"
"1.9800","0.8609","18.5541"
